path,exists,stale_hits,live_hits,status,detail
experiments/final_submission_package/current_upload/ATTEMPT_CARD.md,yes,0,4,pass,ok
experiments/final_submission_package/current_upload/README.md,yes,0,1,pass,ok
experiments/final_submission_package/current_upload/SCORE_REPORT.txt,yes,0,0,pass,ok
experiments/final_submission_package/current_upload/metadata.json,yes,0,1,pass,ok
experiments/final_submission_package/current_upload/submission.csv,yes,0,0,pass,ok
hw2_D13922024/README.md,yes,0,2,pass,ok
hw2_D13922024/make_final.py,yes,0,0,pass,ok
hw2_D13922024/hw2_report.md,yes,0,0,pass,ok
experiments/scripts/v1866_final_attempt_runbook.py,yes,0,1,pass,ok
experiments/scripts/v1836_score_feedback_router.py,yes,0,1,pass,ok
experiments/scripts/v1870_stage_current_upload.py,yes,0,1,pass,ok
experiments/scripts/v1871_final_attempt_cockpit.py,yes,0,1,pass,ok
experiments/scripts/v1872_post_score_command_center.py,yes,0,1,pass,ok
experiments/scripts/v1883_pre_upload_guard.py,yes,0,2,pass,ok
experiments/scripts/v1888_final_upload_preflight.py,yes,0,2,pass,ok
experiments/scripts/v1893_score_report_template.py,yes,0,2,pass,ok
experiments/scripts/v1894_score_report_intake.py,yes,0,2,pass,ok
experiments/scripts/v1895_score_report_command_center.py,yes,0,1,pass,ok
experiments/scripts/v1898_current_score_report_bridge.py,yes,0,1,pass,ok
experiments/scripts/v1900_current_upload_score_report_guard.py,yes,0,1,pass,ok
experiments/scripts/v1902_upload_alias_guard.py,yes,0,1,pass,ok
experiments/scripts/v1904_attempt_state_guard.py,yes,0,1,pass,ok
experiments/scripts/v1906_goal_completion_gate.py,yes,0,1,pass,ok
experiments/scripts/v1908_final_goal_status.py,yes,0,0,pass,ok
experiments/scripts/v1921_upload_now_console.py,yes,0,0,pass,ok
